Soort;Naam;Beschrijving;Locatie;Latitude;Longitude
Tramhalte;Tramhalte Burg. Röellstraat / Slotermerlaan;Lijn 7 | 13;Burg. Röellstraat / Slotermerlaan;52.375695;4.81902
Tramhalte;Tramhalte Flevopark;Lijn 3 | 14;Flevopark;52.365172;4.951398
Tramhalte;Tramhalte Mr. Visserplein;Lijn 14;Mr. Visserplein;52.367822;4.905698
Tramhalte;Tramhalte Eerste Van Swindenstraat;Lijn 19;Eerste Van Swindenstraat;52.361919;4.92398
Tramhalte;Tramhalte Linnaeusstraat / Wijttenbachstraat;Lijn 1 | 3 | 19;Linnaeusstraat / Wijttenbachstraat;52.360018;4.925295
Tramhalte;Tramhalte Insulindeweg;Lijn 3 | 14;Insulindeweg;52.364873;4.947752
Tramhalte;Tramhalte Jan Tooropstraat;Lijn 13;Jan Tooropstraat;52.371488;4.838105
Tramhalte;Tramhalte Bos en Lommerplein;Lijn 7;Bos en Lommerplein;52.377877;4.845748
Tramhalte;Tramhalte Soembawastraat;Lijn 3 | 14;Soembawastraat;52.362213;4.943723
Tramhalte;Tramhalte Molukkenstraat;Lijn 3 | 14;Molukkenstraat;52.361697;4.940094
Tramhalte;Tramhalte Hogeweg;Lijn 19;Hogeweg;52.353489;4.930963
Tramhalte;Tramhalte Hugo de Vrieslaan;Lijn 19;Hugo de Vrieslaan;52.350859;4.935164
Tramhalte;Tramhalte Pontanusstraat;Lijn 14;Pontanusstraat;52.365925;4.927672
Tramhalte;Tramhalte Zeeburgerdijk;Lijn 14;Zeeburgerdijk;52.365812;4.932676
Tramhalte;Tramhalte Javaplein;Lijn 14;Javaplein;52.364327;4.937667
Tramhalte;Tramhalte Dam;Lijn 4 | 14 | 24;Dam;52.373816;4.894051
Tramhalte;Tramhalte Rokin;Lijn 4 | 14 | 24 | 52;Rokin;52.3698;4.892378
Tramhalte;Tramhalte Marie Heinekenplein;Lijn 24;Marie Heinekenplein;52.357072;4.890701
Tramhalte;Tramhalte IJsbaanpad;Lijn 24;IJsbaanpad;52.341126;4.857697
Tramhalte;Tramhalte Museumplein;Lijn 3 | 5 | 12;Museumplein;52.356547;4.879725
Tramhalte;Tramhalte Dijkgraafplein;Lijn 17;Dijkgraafplein;52.355548;4.786911
Tramhalte;Tramhalte Baden Powellweg;Lijn 17;Baden Powellweg;52.356492;4.791584
Tramhalte;Tramhalte Hoekenes;Lijn 17;Hoekenes;52.358004;4.799095
Tramhalte;Tramhalte Osdorpplein West;Lijn 17;Osdorpplein West;52.359418;4.803203
Tramhalte;Tramhalte Osdorpplein Oost;Lijn 17;Osdorpplein Oost;52.359622;4.807557
Tramhalte;Tramhalte Elandsgracht;Lijn 5 | 7 | 17 | 19;Elandsgracht;52.368807;4.877952
Tramhalte;Tramhalte De Clercqstraat / Bilderdijkstraat;Lijn 3 | 13 | 19;De Clercqstraat / Bilderdijkstraat;52.370886;4.870333
Tramhalte;Tramhalte Amstelveenseweg;Lijn 2;Amstelveenseweg;52.35151;4.856596
Tramhalte;Tramhalte Westlandgracht;Lijn 2;Westlandgracht;52.351584;4.845329
Tramhalte;Tramhalte Laan van Vlaanderen;Lijn 2;Laan van Vlaanderen;52.346463;4.816059
Tramhalte;Tramhalte Centrum Nieuw Sloten;Lijn 2;Centrum Nieuw Sloten;52.34636;4.81092
Tramhalte;Tramhalte Oudenaardeplantsoen;Lijn 2;Oudenaardeplantsoen;52.344996;4.803954
Tramhalte;Tramhalte Cornelis Schuytstraat;Lijn 2;Cornelis Schuytstraat;52.356018;4.8707
Tramhalte;Tramhalte Valeriusplein;Lijn 2;Valeriusplein;52.353226;4.863504
Tramhalte;Tramhalte Delflandlaan;Lijn 2;Delflandlaan;52.351551;4.840877
Tramhalte;Tramhalte Louwesweg;Lijn 2;Louwesweg;52.346694;4.824626
Tramhalte;Tramhalte Johan Huizingalaan;Lijn 2;Johan Huizingalaan;52.349164;4.827477
Tramhalte;Tramhalte Hoofddorpplein;Lijn 2;Hoofddorpplein;52.351309;4.849935
Tramhalte;Tramhalte Van Baerlestraat;Lijn 2 | 3 | 5 | 12;Van Baerlestraat;52.358149;4.878563
